Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
03/01/11,Ath Madrid,Santander,0,0,D,0,0,D,13,9,5,3,15,11,10,0,2,1,0,0
03/01/11,Getafe,Real Madrid,2,3,A,1,2,A,12,15,5,5,16,20,3,2,5,3,0,1
03/01/11,Mallorca,Hercules,3,0,H,2,0,H,20,11,10,3,7,7,4,12,1,4,0,0
03/01/11,Villarreal,Almeria,2,0,H,1,0,H,16,11,10,2,16,18,4,0,1,4,0,0
03/01/11,Zaragoza,Sociedad,2,1,H,1,1,D,24,8,9,2,17,16,9,4,3,1,0,0
08/01/11,La Coruna,Barcelona,0,4,A,0,1,A,7,8,1,5,8,7,4,7,1,0,0,0
08/01/11,Malaga,Ath Bilbao,1,1,D,0,0,D,12,13,3,6,15,19,8,5,4,3,0,0
08/01/11,Sociedad,Sevilla,2,3,A,2,1,H,14,17,8,5,12,13,5,7,2,1,0,0
09/01/11,Espanol,Zaragoza,4,0,H,3,0,H,11,13,6,4,12,21,3,3,2,4,0,0
09/01/11,Levante,Valencia,0,1,A,0,0,D,13,16,2,6,14,14,6,3,4,1,0,0
09/01/11,Mallorca,Almeria,4,1,H,2,0,H,18,10,9,2,14,9,8,9,2,1,0,0
09/01/11,Osasuna,Getafe,0,0,D,0,0,D,15,18,3,7,15,10,6,11,4,1,0,0
09/01/11,Real Madrid,Villarreal,4,2,H,2,2,D,15,12,7,3,20,8,6,3,3,4,0,0
09/01/11,Santander,Sp Gijon,1,1,D,1,0,H,13,17,3,9,16,15,4,10,1,3,0,0
10/01/11,Hercules,Ath Madrid,4,1,H,4,0,H,10,22,6,4,17,15,4,4,1,0,0,0
15/01/11,Ath Bilbao,Santander,2,1,H,2,0,H,9,12,4,4,13,12,6,7,2,3,0,1
15/01/11,Getafe,Sociedad,0,4,A,0,2,A,22,11,3,4,8,17,10,2,3,4,0,0
15/01/11,Sevilla,Espanol,1,2,A,0,1,A,17,11,6,4,17,9,7,3,1,2,0,0
15/01/11,Sp Gijon,Hercules,2,0,H,2,0,H,8,5,6,2,12,17,3,4,3,5,0,0
15/01/11,Villarreal,Osasuna,4,2,H,1,0,H,20,12,12,4,10,10,6,5,1,3,0,0
15/01/11,Zaragoza,Levante,1,0,H,1,0,H,10,8,2,3,25,18,4,0,5,3,0,0
16/01/11,Almeria,Real Madrid,1,1,D,0,0,D,9,24,3,10,21,18,1,12,2,2,0,0
16/01/11,Barcelona,Malaga,4,1,H,3,0,H,13,4,9,2,12,12,8,1,1,1,0,0
16/01/11,Valencia,La Coruna,2,0,H,0,0,D,17,9,7,1,16,14,2,3,3,2,0,0
17/01/11,Ath Madrid,Mallorca,3,0,H,2,0,H,10,18,5,7,12,9,4,4,2,3,1,1
22/01/11,Barcelona,Santander,3,0,H,2,0,H,14,7,11,3,6,15,8,1,0,0,0,0
22/01/11,Sevilla,Levante,4,1,H,3,0,H,9,5,5,2,14,22,6,1,2,2,0,0
22/01/11,Valencia,Malaga,4,3,H,1,2,A,15,9,7,6,15,7,9,2,1,4,0,2
23/01/11,Almeria,Osasuna,3,2,H,2,1,H,14,16,4,5,19,16,6,9,3,5,0,0
23/01/11,Getafe,Espanol,1,3,A,1,0,H,17,12,5,6,15,6,5,6,0,0,0,0
